STRID,EPISODE,DESCRIPTION,got1,got2,completed1,completed2,null1,null2,failed,XP,NAME1,NAME2,BUILDINGS,HUMANS,MARKERS,SUB
quest_report_fatherwindigo,,,norcity_ungan.ers,,FatherWindigo5,,,,,1000,Побеседовать о Джексоне Старшем с отцом Виндиго.,Побеседовать о Джексоне Старшем с отцом Виндиго.,,fatherwindigo,,0
quest_find_jacksonjr,,,FatherWindigo5,,Fondenitc1,,,,,5000,Найти Джексона-младшего.,Найти Джексона-младшего.,,,,0
quest_imper_weapon,,,Fondenitc1,,Fondenitc2,,,,,20000,Добыть имперское оружие.,Добыть имперское оружие.,,fondenitc,,0
quest_pedalistbl,,,Fondenitc4,,Fondenitc5,,,,,20000,Добыть рабов у горных душманов.,Добыть рабов у горных душманов.,,,,0
quest_islelab_isle_win,,,Fondenitc7,,islelab_isle.ers,,,,,20000,Уничтожить всех арийцев рядом с подводной лодкой.,Уничтожить всех арийцев рядом с подводной лодкой.,,,-,0
quest_islelab_isle_goto_gprs,,,islelab_isle.ers,,islelab_gprs.ers,,,,,20000,Проследовать к тектоническому реактору.,Проследовать к тектоническому реактору.,,,"isle,3,42",
quest_charge_railgun_ammo,,,islelab_gprs.ers,,islelab_gprs.ers,,,,,20000,Зарядить батареи имперского оружия.,Зарядить батареи имперского оружия.,,,"gprs,48,35",0
quest_islelab_isle_need_weapon,,,islelab_isle.ers,,islelab_isle.ers,,,,,0,"Собрать всё имперское оружие, с которым я прибыл на остров.","Собрать всё имперское оружие, с которым я прибыл на остров.",,,,
quest_islelab_isle_need_satan,,,islelab_isle_need_satan.ers,islelab_isle_need_satan2.ers,islelab_isle.ers,,,,,,"Подобрать бомбу ""Сатана"".","Подобрать бомбу ""Сатана"".",,,,
quest_islelab_gprs_need_satan,,,islelab_gprs_need_satan.ers,,islelab_isle.ers,,,,,,"Подобрать бомбу ""Сатана"".","Подобрать бомбу ""Сатана"".",,,,
quest_return_to_submarine,,,islelab_gprs_return.ers,,islelab_isle.ers,,,,,10000,Вернуться к подводной лодке Фонденица.,Вернуться к подводной лодке Фонденица.,,fondenitc,"gprs,93,39,isle,75,41",
quest_get150for_Gibbous,,,Gibbous9,Gibbous10,Gibbous9a,,Gibbous11,Gibbous12,,15,Отдать Горбатому сто пятьдесят монет.,Отдать Горбатому сто пятьдесят монет.,,gibbous,-,0
quest_get100for_Gibbous,,,Gibbous9,Gibbous10,Gibbous9a,,Gibbous11,Gibbous12,,10,Отдать Горбатому сто монет.,Отдать Горбатому сто монет.,,gibbous,-,0
quest_return_alisa,,,Gibbous11,,Gibbous12,,,,,1500,Добыть механическую бабу Алису для Горбатого.,Добыть механическую бабу Алису для Горбатого.,,"alice,gibbous",-,0
quest_blackskin_jerboa,,,Blackskin1,,Blackskin1,,,,,200,Принести Чернышу 21 шкурку тушканчика.,Принести Чернышу 21 шкурку тушканчика.,,blackskin,"monster01,1024,1024,monster02,1024,1024,monster03,1024,1024",0
quest_return_marta,,,Hans1,,Hans11,release_marta_and_kruger.ers,,,fatherwindigo1b,5000,Вернуть Гансу его приёмную дочь Марту.,Вернуть Гансу его приёмную дочь Марту.,,,"can_entr,31,47",0
quest_arrive_at_cannibals,,,Hans2,,,,,,,200,Добраться вместе с Гансом до каннибалов.,Добраться вместе с Гансом до каннибалов.,,,-,0
quest_arrive_at_can_vill,,,cannibals_can_entr.ers,,kruger1,,,,,,Пройти в деревню людоедов.,Пройти в деревню людоедов.,,,,2
quest_arrive_at_can_vill_1,,,,,chief1,,,,,,Миновать охранников.,Миновать охранников.,,chief,,-1
quest_arrive_at_can_vill_2,,,,,kruger1,,,,,,Зайти в деревню.,Зайти в деревню.,,kruger,,-1
quest_buy_marta,,,Hans2b,,Hans11,release_marta_and_kruger.ers,,,"hans12,fatherwindigo1b",500,Выкупить Марту.,Выкупить Марту.,,marta,-,0
quest_buy_kruger,,,Kruger1,,Arbi1a,release_marta_and_kruger.ers,,,hans12,500,Выкупить Крюгера.,Выкупить Крюгера.,,kruger,-,0
quest_investigation_steal_marta,,,Hans7a2,,Hans8b,,Hans11,Hans8a,,500,"Узнать, кто похитил Марту у Ганса.","Узнать, кто похитил Марту у Ганса.",,,-,0
quest_kill_mamed,,,Hans8b,,Hans9,,,,,2500,Принести голову Мамеда Гансу.,Принести голову Мамеда Гансу.,,"hans,mamed",-,0
quest_explore_sewerage,,,norcity_sewerage_start.ers,,norcity_sewerage.ers,,,,,1500,Исследовать канализацию.,Исследовать канализацию.,,,"sewerage,28,86",
quest_book_yozef,,,LegbaJunior1,,iceman1,,,,,2000,"Добыть ""Будильники"" для Легбы-Джуниора.","Добыть ""Будильники"" для Легбы-Джуниора.",,,-,0
quest_book_yozef2,,,notice_quest_demon_fights_completed.csv,,LegbaJunior2,,,,,2000,"Принести ""Будильники"" Легбе-Джуниору.","Принести ""Будильники"" Легбе-Джуниору.",,LegbaJunior,-,0
quest_get_bounty,,,Mirza2,,Mirza4,,Mirza1,,,1000,Привести Мирзе бабу по имени Баунти.,Привести Мирзе бабу по имени Баунти.,,"mirza,rodriges",-,0
quest_buy_sullen,,,Mirza1,,Mirza1,,Mirza2,,,400,Освободить Угрюмого из рабства.,Освободить Угрюмого из рабства.,,mirza,,2
quest_buy_sullen_1,,,,,join_ibragim.ers,,,,,200,Приобрести негра у торговца Абу-Бакара.,Приобрести негра у торговца Абу-Бакара.,,abubakar,,-1
quest_buy_sullen_2,,,,,join_mahmud.ers,,,,,200,Приобрести негра у торговца Саида.,Приобрести негра у торговца Саида.,,said,,-1
quest_talk_with_validol,,,before_goto_validol.ers,,,,aryantown_aryanwest_start.ers,,,5000,Поговорить с Валидолом о чернящих таблетках.,Поговорить с Валидолом о чернящих таблетках.,,,,0
quest_talk_with_validol2,,,notice_quest_demon_fights_completed.ers,,validol1,,,,,5000,Поговорить с Валидолом о чернящих таблетках.,Поговорить с Валидолом о чернящих таблетках.,,validol,,0
quest_talk_with_hans,,,before_goto_hans.ers,,going_to_forest.ers,,,,,5000,Вернуться в Северный город и поговорить с Гансом.,Вернуться в Северный город и поговорить с Гансом.,,hans,,0
quest_execution_traitor,,,execution_traitor.ers,,aryantown_aryancent_after_execution_traitor.ers,,,,aryantown_aryancent.ers,5000,Расстрелять Сяо Цуаньфу и Ломпо Мбанза.,Расстрелять Сяо Цуаньфу и Ломпо Мбанза.,,,,0
quest_find_police,,,UlrichBek4,,OttoGuttenberg3,,,,,3000,Найти логово полицейской банды.,Найти логово полицейской банды.,,,-,0
quest_valkyrie_map,,,OttoGuttenberg5,,,,,,aryantown_aryancent.ers,100,"Принести Гуттенбергу карту подземелий с ""Валькирией"".","Принести Гуттенбергу карту подземелий с ""Валькирией"".",,,,0
quest_kill_harryramrod,"Убийство начальника пакгауза, известного как Гарри",,Blackskin3e,,Blackskin3c,,,,,2000,"Убить Гарри Шомпола, доложить Чернышу.","Убить Гарри Шомпола, доложить Чернышу.",,,-,2
quest_kill_harryramrod_1,,,,,norcity_packhou.ers,,,,,,Убить Гарри Шомпола.,Убить Гарри Шомпола.,,harryramrod,,-1
quest_kill_harryramrod_2,,,,,Blackskin3c,,,,,,Доложить Чернышу.,Доложить Чернышу.,,blackskin,,-1
quest_kill_hiroichijo,Убийство начальника порта,,Blackskin3d,,Blackskin3c,,,,,2000,"Убить Хиро Ичиджо, доложить Чернышу.","Убить Хиро Ичиджо, доложить Чернышу.",,,,2
quest_kill_hiroichijo_1,,,,,norcity_whharbor.ers,,,,,,Убить Хиро Ичиджо.,Убить Хиро Ичиджо.,,hiroichijo,,-1
quest_kill_hiroichijo_2,,,,,Blackskin3c,,,,,,Доложить Чернышу.,Доложить Чернышу.,,blackskin,,-1
quest_liberate_stepanliu,Золотой унитаз,,Lucyliu1,,stpanliu1,,,,,2000,Освободить Степана Лю.,Освободить Степана Лю.,,"lucyliu,chansingo",-,0
quest_goto_stepanliu,,,yelvill_yelvill.ers,,yelvill_yelvill.ers,,,,,,"Найти ключ от тюрьмы, где сидит Степан Лю, освободить Степана.","Найти ключ от тюрьмы, где сидит Степан Лю, освободить Степана.",,stepanlu,,0
quest_deliver_stepanliu,,,"yelvill_yelvill.ers, stpanliu1",,Lucyliu3,,,,,,Доставить Степана Лю к супруге.,Доставить Степана Лю к супруге.,,lucyliu,,0
quest_potatoes,Картофан,,Kazbek1,,,,,,,50,Принести картошки Казбеку.,Принести картошки Казбеку.,,,-,0
quest_mpua,Замануха,,Akibombo1,,Akibombo1,,,,,500,Освободить Мпуа.,Освободить Мпуа.,,,-,0
quest_holdup,Ограбление банка «Конкретный»,,Crust2,,,,,,,2000,"Вынести деньги из банка ""Конкретный"".","Вынести деньги из банка ""Конкретный"".",,,-,0
quest_condoms,Добыча гондонов,,Spicecake2,,Spicecake3,,,,,2000,Добыть презервативы для Пряника.,Добыть презервативы для Пряника.,,,-,0
quest_otto_docs,Засада в Южном городе,,GunterKlein1,,GunterKlein2,,,,,10000,Принести записи Отто Гюнтеру Кляйну.,Принести записи Отто Гюнтеру Кляйну.,,,,2
quest_otto_docs_1,,,,,burnvill_burnvill.ers,,,,,3000,Добыть записи Отто.,Добыть записи Отто.,,,"burnvill,58,20",-1
quest_otto_docs_2,,,,,GunterKlein2,,,,,,Доставить записи Гюнтеру Кляйну.,Доставить записи Гюнтеру Кляйну.,,gunterklein,,-1
quest_dormidont_to_jamshet,Дормидонт,,Blackskin12,,Jamshet1,Jamshet2,,,Sardanapal5,1000,Доставить Дормидонта к Джамшету.,Доставить Дормидонта к Джамшету.,,,-,0
quest_gain_loaf,Дормидонт,,sardanapal2,,crutch1,,,,,1500,Добыть Батона у Костыля.,Добыть Батона у Костыля.,,,-,0
quest_deliver_loaf,Дормидонт,,crutch1,,sardanapal0,crowbar1,,,,500,Доставить Батона в Северный город.,Доставить Батона в Северный город.,,,-,0
quest_kill_ugos,Дормидонт,,crutch1,,crutch2,,,,,1000,Убить бандита Угоса.,Убить бандита Угоса.,,,-,0
quest_capture_dormidont,Дормидонт,,crowbar1,,,,,,,1000,Отбить Дормидонта силой.,Отбить Дормидонта силой.,,,-,0
quest_interchange_dormidont,Дормидонт,,sardanapal3,,crowbar1,,,,,100,Привести Батона к Лому.,Привести Батона к Лому.,,,-,0
quest_going_to_uluk_home,"Добыча ""Урагана""",,gorja2,,uluk1,,,,,500,"Встретиться с Улуком, имея в партии Горю.","Встретиться с Улуком, имея в партии Горю.",,,-,0
quest_find_bb,"Добыча ""Урагана""",,uluk1,,,,,,,5000,"Найти затвор ""Урагана"" внутри склада.","Найти затвор ""Урагана"" внутри склада.",,,-,0
quest_find_haim,Денежная машина,,gershelvatman5,,gershelvatman6,,,,dead_gershelvatman,3000,Найти Хаима и вытрясти из него деньги.,Найти Хаима и вытрясти из него деньги.,,,-,0
quest_gold_tooth,Золотые зубы Грызуна,,rodent2,,rodent2b,,,,,3500,Отбить золотой зуб Грызуна у негров.,Отбить золотой зуб Грызуна у негров.,,,-,0
quest_lupulu_amulet,,,lupulu1a,,lupulu1c,,,,,1000,Отобрать у Тато и Лалобомпо амулет Лупулу.,Отобрать у Тато и Лалобомпо амулет Лупулу.,,"lupulu,lalobompo,tato",-,0
quest_upa_name,,,notice_quest_upa_name.ers,,upa1,,,,,1500,Вернуть имя Упа безымянному негру.,Вернуть имя Упа безымянному негру.,,"mupalopoponipalar,man,upa",-,2
quest_upa_name_1,,,notice_quest_upa_name.ers,,,,,,,0,Найти ключ к Мупалопопо Нипалару.,Найти ключ к Мупалопопо Нипалару.,,,,-1
quest_upa_name_2,,,notice_quest_upa_name.ers,,,,,,,0,Разобраться с Мупалопопо Нипаларом.,Разобраться с Мупалопопо Нипаларом.,,,,-1
quest_barabulkin_message,,,makaron3,,killer_coming.csv,,,,,500,Позвать Барабулькина к Макарону.,Позвать Барабулькина к Макарону.,,"barabulkin,makaron",-,0
quest_ret_to_makaron,,,killer_coming.csv,,makaron4,,,,,,Вернуться к Макарону и поведать о случившемся.,Вернуться к Макарону и поведать о случившемся.,,makaron,,
quest_gonduras_trousers,,,norcity_rubbish.ers,,gonduras3,,,,,150,Получить у Агронома штаны Гондураса и вернуть их хозяину.,Получить у Агронома штаны Гондураса и вернуть их хозяину.,,"agronom,gonduras",-,0
quest_fantik,,,fantik1,,fantik2,,,,,600,Получить у Круглого маечку Фантика.,Получить у Круглого маечку Фантика.,,"round,fantik",-,0
quest_kill_lodanap,,,omopo3,,omopo3b,,,,,2000,Принести Омопо мозг Лоданапа.,Принести Омопо мозг Лоданапа.,,"omopo,lodanap",-,0
quest_liberate_anjamagical,,,bucket2,,bucket2b,,,,,800,Вызволить проститутку Аню Волшебную.,Вызволить проститутку Аню Волшебную.,,"anjamagical,bucket",-,0
quest_cricket,,,professor2,,professor2a,,,,,500,"Получить у Гангрены сверчка, принадлежащего Профессору.","Получить у Гангрены сверчка, принадлежащего Профессору.","whitecenter,ghouse","professor,gangrene",-,0
quest_jamaguto_sword,,,jamaguto2,,jamaguto2a,,,,,1500,Вернуть Ямагуто его меч.,Вернуть Ямагуто его меч.,,jamaguto,-,0
quest_ilin_rats,,,ilin2,,ilin3,,,,,1500,Истребить крыс на складах И Линя.,Истребить крыс на складах И Линя.,,ilin,-,2
quest_ilin_rats_1,,,ilin2,,norcity_yharbor.ers,,,,,100,Истребить крыс на северном складе И Линя.,Истребить крыс на северном складе И Линя.,"yharbor,yharborbarn",,-,-1
quest_ilin_rats_2,,,ilin2,,norcity_yharbor.ers,,,,,100,Истребить крыс на южном складе И Линя.,Истребить крыс на южном складе И Линя.,"yharbor,yharborbarn2",,-,-1
quest_mombasa_nark,,,blackskinq,,blvill_blvill.ers,,,,,200,Пообщаться с поставщиками дури в негритянской деревне Момбаса.,Пообщаться с поставщиками дури в негритянской деревне Момбаса.,,"blvill_ganjatrader1,blvill_ganjatrader2,blvill_ganjatrader3,blvill_ganjatrader4",,0
quest_nyamba_cherries,,,blackskinq,,,,norcity_sod_nor.ers,,,100,Рассказать о промзоне человеку по имени Ньямба.,Рассказать о промзоне человеку по имени Ньямба.,,,"sod_nor,65,8",0
quest_nyamba_cherries2,,,norcity_sod_nor.ers,,nyamba2,,nyamba2,,,100,Рассказать о промзоне человеку по имени Ньямба.,Рассказать о промзоне человеку по имени Ньямба.,,nyamba,,0
quest_think_about_blackskin,,,think_about_blackskin.ers,,blackskin5a,,,,,1000,Посоветоваться с Чернышом относительно Джексона Старшего.,Посоветоваться с Чернышом относительно Джексона Старшего.,,blackskin,,0
quest_think_about_blackskin2,,,think_about_blackskin2.ers,validol3,blackskin5b,,,,,1000,Пообщаться с Чернышом относительно унгана и чернящих таблеток.,Пообщаться с Чернышом относительно унгана и чернящих таблеток.,,blackskin,,0
quest_think_about_blackskin3,,,think_about_blackskin3.ers,,blackskin11,,,,,1000,Обсудить с Чернышом вопрос получения имперского оружия.,Обсудить с Чернышом вопрос получения имперского оружия.,,blackskin,,0
quest_think_about_blackskin4,,,think_about_blackskin4.ers,,blackskin5,,,,,1000,Сходить к Чернышу за советом касательно Ганса.,Сходить к Чернышу за советом касательно Ганса.,,blackskin,,
quest_goto_ungan,,,blackskin5b,,norcity_ungan.ers,,,,,1000,Сходить к унгану и расспросить его о чернящих таблетках.,Сходить к унгану и расспросить его о чернящих таблетках.,,jacksonsr,,0
quest_check_sullen,,,blackskin3b,,Mirza1,,,,,100,"Убедиться, что на рынке продают Угрюмого.","Убедиться, что на рынке продают Угрюмого.",,sullen,,0
quest_talk_hans,,,blackskin3b,,hans1,,,,,300,Поговорить с Гансом о стройке в лесу.,Поговорить с Гансом о стройке в лесу.,,hans,,0
quest_talk_hans2,,,blackskin5,,hans2,,,,,300,"Поговорить с Гансом, используя новую информацию.","Поговорить с Гансом, используя новую информацию.",,hans,,
quest_escape_maze,,,shipcave_consgrou_destroy_4elnok.ers,,shipcave_maze.ers,,,,,10000,Выйти из пещеры.,Выйти из пещеры.,,,"maze,41,5",
quest_consgrou_win,,,sailing_off_from_steller.ers,,shipcave_consgrou.ers,,,,,10000,Уничтожить оборону челнока.,Уничтожить оборону челнока.,,,,
quest_arrive_shuttle,,,shipcave_consgrou.ers,,shipcave_consgrou.ers,,,,,10000,Проверить челнок.,Проверить челнок.,,,"consgrou,49,55",
quest_leave_shuttle,,,,,shipcave_consgrou_destroy_4elnok.ers,,,,,10000,"Установить взрывное устройство ""Сатана"".","Установить взрывное устройство ""Сатана"".",,,"consgrou,35,55",
quest_find_skovorodkas_torch,,,rodriges2,,norcity_packhou.ers,,,,,,Приступить к поискам чудо-фонарика Сковородки.,Приступить к поискам чудо-фонарика Сковородки.,,,"packhou,57,24",
quest_discover_skovorodkas_torch,,,norcity_packhou.ers,,norcity_packhou.ers,,,,,,"Обыскать ближайшие дома, найти фонарик Сковородки.","Обыскать ближайшие дома, найти фонарик Сковородки.",,,,
quest_bring_skovorodkas_torch,,,norcity_packhou.ers,,rodriges3,,,,,,Отнести чудо-фонарик Сковородки Родригесу.,Отнести чудо-фонарик Сковородки Родригесу.,,rodriges,,
quest_sullen_fights,,,notice_quest_sullen_fights.ers,,before_goto_bl_w_sull.ers,,,,,,"Проверить богатые полезными вещами места, указанные Угрюмым.","Проверить богатые полезными вещами места, указанные Угрюмым.",,,,4
quest_sullen_fights_1,,,notice_quest_sullen_fights.ers,,fight04_fight04.ers,,,,,,Проверить посадочный полигон.,Проверить посадочный полигон.,,,"fight04,1024,1024",-1
quest_sullen_fights_2,,,notice_quest_sullen_fights.ers,,fight05_fight05.ers,,,,,,Проверить бандитский посёлок.,Проверить бандитский посёлок.,,,"fight05,1024,1024",-1
quest_sullen_fights_3,,,notice_quest_sullen_fights.ers,,fight06_fight06.ers,,,,,,Проверить большой каньон.,Проверить большой каньон.,,,"fight06,1024,1024",-1
quest_sullen_fights_4,,,notice_quest_sullen_fights.ers,,fight07_fight07.ers,,,,,,Проверить ущелье.,Проверить ущелье.,,,"fight07,1024,1024",-1
quest_goto_bl_w_sull,,,before_goto_bl_w_sull.ers,,blackskin3c,,,,,,Вернуться к Чернышу и получить от него дальнейшие указания.,Вернуться к Чернышу и получить от него дальнейшие указания.,,blackskin,,
quest_hidimba,,,hidimba2,,hidimba3,,,,,500,Найти негра Оло и передать ему сообщение Хидимбы.,Найти негра Оло и передать ему сообщение Хидимбы.,,hidimba,,
quest_destroy_dushmans,,,highland_kishlak.ers,,highland_kishlak.ers,,,,,5000,Убить всех душманов. Рабы должны выжить.,Убить всех душманов. Рабы должны выжить.,,,,
quest_take_out_slaves,,,highland_kishlak.ers,,highland_kishlak_slaves_rel.ers,,,,,1000,Вывести рабов из клеток и зинданов.,Вывести рабов из клеток и зинданов.,,,,10
quest_take_out_slaves_1,,,,,highland_kishlak_slave1_rel.ers,,,,,500,Освободить раба из зиндана.,Освободить раба из зиндана.,,,"kishlak,76,51",-1
quest_take_out_slaves_2,,,,,highland_kishlak_slave2_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave2,,-1
quest_take_out_slaves_3,,,,,highland_kishlak_slave3_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave3,,-1
quest_take_out_slaves_4,,,,,highland_kishlak_slave4_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave4,,-1
quest_take_out_slaves_5,,,,,highland_kishlak_slave5_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave5,,-1
quest_take_out_slaves_6,,,,,highland_kishlak_slave6_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave6,,-1
quest_take_out_slaves_7,,,,,highland_kishlak_slave7_rel.ers,,,,,500,Освободить раба из клетки.,Освободить раба из клетки.,,kishlak_slave7,,-1
quest_take_out_slaves_8,,,,,highland_kishlak_slave8_rel.ers,,,,,500,Освободить раба из зиндана.,Освободить раба из зиндана.,,,"kishlak,77,61",-1
quest_take_out_slaves_9,,,,,highland_kishlak_slave9_rel.ers,,,,,500,Освободить раба из зиндана.,Освободить раба из зиндана.,,,"kishlak,54,21",-1
quest_take_out_slaves_10,,,,,highland_kishlak_slave10_rel.ers,,,,,500,Освободить раба из зиндана.,Освободить раба из зиндана.,,,"kishlak,22,21",-1
quest_kruger_fights,,,notice_quest_kruger_fights.ers,,before_goto_bl_w_sull.ers,,,,,,"Проверить богатые полезными вещами места, указанные Крюгером.","Проверить богатые полезными вещами места, указанные Крюгером.",,,,4
quest_kruger_fights_1,,,notice_quest_kruger_fights.ers,,fight08_fight08.ers,,,,,,Проверить посёлок в джунглях.,Проверить посёлок в джунглях.,,,"fight08,1024,1024",-1
quest_kruger_fights_2,,,notice_quest_kruger_fights.ers,,fight09_fight09.ers,,,,,,Проверить степной монастырь.,Проверить степной монастырь.,,,"fight09,1024,1024",-1
quest_kruger_fights_3,,,notice_quest_kruger_fights.ers,,fight10_fight10.ers,,,,,,Проверить бандитское ущелье.,Проверить бандитское ущелье.,,,"fight10,1024,1024",-1
quest_kruger_fights_4,,,notice_quest_kruger_fights.ers,,fight11_fight11.ers,,,,,,Проверить торговый путь.,Проверить торговый путь.,,,"fight11,1024,1024",-1
quest_lester_chet,,,lester1,,lester2,,,,,500,Вернуть Лестеру поводыря Чета.,Вернуть Лестеру поводыря Чета.,,"chet,lester",,
quest_goto_aryancent,,,aryantown_aryanwest_aryanguardpierced.ers,,aryantown_aryanwest.ers,,,,,,Добраться до арийской крепости.,Добраться до арийской крепости.,,,"aryanwest,88,49",
quest_demon_fights,,,notice_quest_demon_fights.ers,,notice_quest_demon_fights_completed.ers,,,,,,"Проверить богатые полезными вещами места, указанные Демоном.","Проверить богатые полезными вещами места, указанные Демоном.",,,,4
quest_demon_fights_1,,,notice_quest_demon_fights.ers,,fight12_fight12.ers,,,,,,Проверить лагерь с женщинами.,Проверить лагерь с женщинами.,,,"fight12,1024,1024",-1
quest_demon_fights_2,,,notice_quest_demon_fights.ers,,fight12_fight12.ers,,,,,,Проверить кладбище негров.,Проверить кладбище негров.,,,"fight13,1024,1024",-1
quest_demon_fights_3,,,notice_quest_demon_fights.ers,,fight14_fight14.ers,,,,,,Проверить табачную плантацию.,Проверить табачную плантацию.,,,"fight14,1024,1024",-1
quest_demon_fights_4,,,notice_quest_demon_fights.ers,,fight15_fight15.ers,,,,,,Проверить заброшенную шахту.,Проверить заброшенную шахту.,,,"fight15,1024,1024",-1
quest_goto_yoganvayce,,,blackskin8,,yoganvayce0,,,,,1000,Добраться до Йогана Вайса.,Добраться до Йогана Вайса.,,yoganvayce,,
quest_can_entr_za4istka_rezid,,,cannibals_can_entr.ers,,cannibals_can_entr.ers,,,,,5000,Выйти к селению людоедов.,Выйти к селению людоедов.,,,"can_entr,93,44",
quest_can_vill_za4istka_rezid,,,cannibals_can_entr.ers,,cannibals_can_vill.ers,,,,,5000,Проникнуть в пещеру с челноком.,Проникнуть в пещеру с челноком.,,,"can_vill,86,59",
quest_shipcave_maze_rezid,,,cannibals_can_vill.ers,,shipcave_maze.ers,,,,,5000,Обнаружить путь к челноку в пещере.,Обнаружить путь к челноку в пещере.,,,"maze,75,92",
quest_goto_andre,,,settlem_settlem_start.ers,,andre99,,,,,,"Пообщаться с Андре, отдать ему письмо Ганса.","Пообщаться с Андре, отдать ему письмо Ганса.",,andre,,
quest_destroy_ostriches,,,,,,,,,,2000,Отбить страусиную атаку. Ю-Ю должен выжить.,Отбить страусиную атаку. Ю-Ю должен выжить.,,,,
quest_bring_map_to_blackskin,,,ottoguttenberg6,,blackskin9,,,,,5000,Доставить Чернышу карту Гуттенберга.,Доставить Чернышу карту Гуттенберга.,,blackskin,,
quest_got_goldentoilet,,,norcity_ycenter.ers,,norcity_ycenter.ers,,,,,500,Подобрать золотой унитаз.,Подобрать золотой унитаз.,,,"ycenter,41,82",
quest_show_goldentoilet_to_lucyliu,,,norcity_ycenter.ers,,lucyliu2,,,,,500,Показать золотой унитаз Люси Лю.,Показать золотой унитаз Люси Лю.,,,,2
quest_show_goldentoilet_to_lucyliu_1,,,,,,,,,,,Выбраться из дома тайпена.,Выбраться из дома тайпена.,,,"ycenter,43,52",-1
quest_show_goldentoilet_to_lucyliu_2,,,,,,,,,,,Добраться до Люси Лю.,Добраться до Люси Лю.,,lucyliu,,-1
quest_goto_lucyliu_sortir,,,lucyliu1,,norcity_ynorth.ers,,,,,100,Посетить сортир Люси Лю.,Посетить сортир Люси Лю.,,,"ynorth,12,70",
quest_aryannor_ambush,,,going_with_gunterklein2.ers,,aryantown_aryannor.ers,,,,,1000,Вырваться из засады.,Вырваться из засады.,,,"aryannor,82,4",
quest_descriptions,,,edge1,,norcity_mar_car.ers,,,,,500,Выяснить приметы грабителя.,Выяснить приметы грабителя.,,,,3
quest_descriptions_1,,,,,,,,,,100,Расспросить сторожа северного склада.,Расспросить сторожа северного склада.,,shraga,,-1
quest_descriptions_2,,,,,,,,,,100,Расспросить сторожа восточного склада.,Расспросить сторожа восточного склада.,,tulup,,-1
quest_descriptions_3,,,,,,,,,,100,Расспросить сторожа южного склада.,Расспросить сторожа южного склада.,,dried,,-1
quest_goto_edge,,,norcity_mar_car.ers,,edge1b,,,,,200,Поделиться с Кантом результатами расследования.,Поделиться с Кантом результатами расследования.,,edge,,0
quest_clausschultz_dress,,,clausschultz1,,clausschultz2,,,,aryantown_aryancent.ers,1000,Найти украденную форму Клауса Шульца.,Найти украденную форму Клауса Шульца.,,clausschultz,,0
quest_jimbob_oblom,,,jimbob3,,jimbob3,,,,,0,Принести Джим-Бобу cпиртное в ящиках на реализацию.,Принести Джим-Бобу cпиртное в ящиках на реализацию.,,jimbob,,0
quest_jimbob_zubr,,,jimbob3,,jimbob3,,,,,0,Принести Джим-Бобу cпиртное в ящиках на реализацию.,Принести Джим-Бобу cпиртное в ящиках на реализацию.,,jimbob,,0
quest_jimbob_klopomor,,,jimbob3,,jimbob3,,,,,0,Принести Джим-Бобу cпиртное в ящиках на реализацию.,Принести Джим-Бобу cпиртное в ящиках на реализацию.,,jimbob,,0
quest_jimbob_termo9d,,,jimbob3,,jimbob3,,,,,0,Принести Джим-Бобу cпиртное в ящиках на реализацию.,Принести Джим-Бобу cпиртное в ящиках на реализацию.,,jimbob,,0
quest_get_quest_capture_jackson,,,join_kruger.ers,,fatherwindigo4,,,,,1000,Пообщаться с отцом Виндиго.,Пообщаться с отцом Виндиго.,,fatherwindigo,,0
quest_lebedimba,,,gerasimba_coming.ers,,lebedimba4,,,,,500,Спасти Ле Бедимбу от банды лодочников.,Спасти Ле Бедимбу от банды лодочников.,,,,2
quest_lebedimba_1,,,,,norcity_bldance.ers,,,,,100,Справиться с лодочниками.,Справиться с лодочниками.,,"gerasimba,gerasimba_man2,gerasimba_man3,gerasimba_man5,gerasimba_man6,gerasimba_man7",,-1
quest_lebedimba_2,,,,,lebedimba4,,,,,100,Получить награду у Ле Бедимбы.,Получить награду у Ле Бедимбы.,,lebedimba,,-1
quest_kill_vaha,,,mamba2,,mamba4,,,,,600,Победить Ваху и его банду.,Победить Ваху и его банду.,,"vaha,mamba,vaha_man1,vaha_man2",,0
quest_kidala_weaponfind,,,,,,,,,,500,"Принести ""Лобзик+"" негру Ламбаябе.","Принести ""Лобзик+"" негру Ламбаябе.",,norcity_q_black_kidala,,0
quest_norcity_killmaster1a,,,,,,,,,,900,Мастер ниндзя просит разобраться с Лу Вун Йаном.,Убить Лу Вун Йана.,,norcity_q_yellow_killmaster,,2
quest_norcity_killmaster1a_1,,,,,,,,,,,Убить Лу Вун Йана.,Убить Лу Вун Йана.,,norcity_yellow_kill1,,-1
quest_norcity_killmaster1a_2,,,,,,,,,,,Доложить о выполнении задания.,Доложить о выполнении задания.,,,,-1
