STRID,SLOT,SKILL,BARRELS,CALIBER,BULLETS,RELOAD_AP,STR,PRICE,DUR,COMPL,MIN_LEVEL,GREN,TELESCOPE,RNG,POI,DMG,ATTACKS,BONUS,REACTION,NAZI_ITEM,FEMALE_ITEM,POLICE_ITEM,POOR_ITEM,RESPECTABLE_ITEM,WIDTH,HEIGHT,PERK,STACKABLE,QUEST,PARTID,SHOT_OFFSET,NAME1,NAME2,DESC1,DESC2
AMMO_9MM,,,,9,1,,,35,100,,,,,,,,,,,,,,,,2,2,,100,,,,9mm Ammo,Патроны 9мм,Ammo for medium and heavy weapons.,Патроны для тяжелых пистолетов и винтовок.
AMMO_14MM_AP,,,,14,1,,,55,100,,999,,,,,,,ARMOR_PIERCE: 25,,,,,,,3,2,,100,,,,14mm AP Ammo,Патроны 14мм ББ,Armor piercing ammo for heavy rifles and machineguns.,Бронебойные патроны для тяжелых винтовок и пулеметов.
AMMO_6MM_AP,,,,6,1,,,25,100,,20,,,,,,,ARMOR_PIERCE: 12,,,,,,,2,2,,100,,,,6mm AP Ammo,Патроны 6мм ББ,Armor piercing ammo for small pistols and submachineguns.,Бронебойные патроны для небольших пистолетов и автоматов.
AMMO_9MM_AP,,,,9,1,,,50,100,,20,,,,,,,ARMOR_PIERCE: 16,,,,,,,2,2,,100,,,,9mm AP Ammo,Патроны 9мм ББ,Armor piercing ammo for medium and heavy weapons.,Бронебойные патроны для тяжелых пистолетов и винтовок.
AMMO_12GA,,,,12,1,,,12,100,,,,,,,,,EXPL_PIECES: 7,,,,,,,2,2,,100,,,,12Ga Ammo,Патроны к дробовику 12 калибра,Ammo for heavy shotguns,Патроны для тяжелых дробовиков.
AMMO_16GA,,,,16,1,,,7,100,,,,,,,,,EXPL_PIECES: 5,,,,,,,2,2,,100,,,,16Ga Ammo,Патроны к дробовику 16 калибра,Ammo for light shotguns,Патроны для легких дробовиков.
AMMO_BLASTER,,,,5,1,,,,100,,999,,,,,,,,,,,,,,2,2,,100,,,,5mm Blaster Ammo,Патроны к бластеру 5мм,,Патроны к бластеру имперского производства.
AMMO_RAILGUN,,,,10,1,,,,100,,999,,,,,,,,,,,,,,2,2,,100,,,,10mm Railgun Ammo,Патроны к рэйлгану 10мм,,Патроны к рэйлгану имперского производства.
GRENADE_30MM,,,,30,1,,,2000,100,,35,,,,,70-100,,"EXPL_PIECES: 30, PIECE_DMG: 15, EXPL_RAD: 3, CRIT_CHANCE: 40",,,,,,,2,2,,6,,,,30mm Grenade,Граната 30мм,Ammo for underbarrel and revolver-type grenade launchers.,"Граната для легких гранатометов ""Подарок"" и ""Терминатор""."
GRENADE_80MM,,,,80,1,,,7000,100,,43,,,,,150-250,,"EXPL_PIECES: 50, PIECE_DMG: 20, EXPL_RAD: 4, CRIT_CHANCE: 65",,,,,,,4,1,,,,,,80mm Bazooka Ammo,Граната 80мм,,"Реактивная граната для базуки ""Шайтан-труба""."
GUNPOWDER,,,,4,1,,,1,100,,,,,,,,,,,,,,,,2,2,,100,,,,Gunpowder,Порох для самопала,A pack includes gunpowder and some other components needed for reloading handmade guns and hunting rifles.,Порох для зарядки самопалов и кремневых ружей.
HEALING,,,,2,1,,,30,100,,999,,,,,,,,,,,,,,,,,1900,,,,,,,
SURGEON,,,,3,1,,,90,100,,999,,,,,,,,,,,,,,,,,10,,,,,,,
REPAIR,,,,1,1,,,10,100,,999,,,,,,,,,,,,,,,,,50,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Пластины для бронежилетов,,
IRON_PLATE,,,,100,10,,,1000,100,200,,,,,,,,D_RES: +4,,,,,,,2,2,,,,,,Iron Plates,Железные пластины,Plates pack for light and medium body armors.,Комплект железных пластин для бронежилета. При сильном износе заменяются на новые.
STEEL_PLATE,,,,100,15,,,5000,100,200,20,,,,,,,D_RES: +7,,,,,,,2,2,,,,,,Steel Plates,Стальные пластины,Plates pack for light and medium body armors.,Комплект стальных пластин для бронежилета. При сильном износе заменяются на новые.
TITANIUM_PLATE,,,,100,40,,,12000,100,200,999,,,,,,,D_RES: +15,,,,,,,2,2,,,,,,Titanium Plates,Титановые пластины,Plates pack for light and medium body armors.,Комплект титановых пластин для бронежилета. При сильном износе заменяются на новые.
HYENA_PLATE,,,,100,8,,,3500,100,200,999,,,,,,,D_RES: +6,,,,,,,2,2,,,,,,Hyena Scales Plates,Пластины из чешуи,Plates pack for light and medium body armors.,Комплект пластин для бронежилета из чешуи гиены. При сильном износе заменяются на новые.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Броня,,
STUDDED_LEATHER_JACKET,BODY,,,,,,4,1800,100,40,,,,,,,,"AC:+5, D_RES: +3",1,,,,,,5,6,,,,STUDDED_LEATHER_JACKET,,Studded Leather Jacket,Жилет из толстой кожи,Studded leather jacket provides light torso protection,"Бронежилет из толстой кожи, обеспечивающий легкую защиту туловища."
STUDDED_LEATHER_TROUSERS,LEGS,,,,,,4,1200,100,35,,,,,,,,"AC: +5, D_RES: +3",1,,,,,,3,7,,,,TROUSERS,,Studded Leather Trousers,Штаны из толстой кожи,Studded leather trousers provides light legs protection.,"Штаны из толстой кожи, обеспечивающие легкую защиту ног."
IRON_CHAINMAIL,SHIRT,,,,,,5,8000,100,50,19,,,,,,,"AC:+4, D_RES: +4",1,,,,,,5,7,,,,,,Iron Chain Mail,Кольчуга железная,,"Рубашка, сплетенная из железных колец. Обеспечивает неплохую защиту, не стесняя движений."
STEEL_CHAINMAIL,SHIRT,,,,,,4,25000,100,65,24,,,,,,,"AC:+7, D_RES: +7, CRIT_DEFENCE: 10",1,,,,,,4,7,,,,,,Steel Chain Mail,Кольчуга стальная,,"Рубашка, сплетенная из стальных колец. Обеспечивает среднюю защиту, не стесняя движений."
CUIRASS,BODY,,,,,,6,100000,100,90,28,,,,,,,"AC:+15, D_RES: +13, THIEF: -30, CRIT_DEFENCE: 20",1,,,,,1,6,7,,,,CUIRASS,,Cuirass,Кираса,"Cuirass provides excellent torso protection. But, due to it's weight, you lose a lot of agility.","Кираса, подобная тем, что использовали средневековые рыцари. Обеспечивает хорошую защиту, но ухудшает подвижность."
FULL_P,BODY,,,,,,7,200000,100,100,999,,,,,15-25,,"AC:+30, D_RES: +20, PER: -3, AGI: -3, CRIT_DEFENCE: 60",3,,,,,1,13,7,,,,FULL_P,,Full P. Suit,"Бронекостюм ""Полный Пэ""","This suit provides you with full body protection and heavy melee damage, but you lose much in agility, perception and stealth.","Непробиваемый из большинства оружия костюм, в то же время сильно ограничивающий свободу действий."
COMMANDO_SUIT,BODY,,,,,,1,,100,200,999,,,,,,,"AC: +100,D_RES: +28, STR: +3, AGI: +3, CRIT_DEFENCE: 60, NRG: 35",5,,,,,1,7,6,,,,COMMANDO_SUIT,,Space Marine Combat Suit,Имперский боевой костюм десантника,The Space Marine Combat Suit provides you with full body protection from most local-made weapons. Suit exoskeleton greatly increases soldier's strength and agility.,"Обеспечивает самый высокий в галактике уровень защиты, при этом снабжен внешней мускулатурой, увеличивающей силу и ловкость бойца."
LIGHT_BODYARMOR,BODY,,,100,1,,4,7000,100,50,,,,,,,,AC:+5,1,,,,,,5,6,,,,LIGHT_BODYARMOR,,Light Body Armor,Бронежилет лёгкий,"A jacket with pockets for metal plates. It provides only front and back torso protection, your sides will be open for an enemy strike.",Бронежилет представляет собой куртку с карманами для защитных пластин. Эта модель защищает только спереди и сзади.
MEDIUM_BODYARMOR,BODY,,,100,1,,6,12000,100,60,22,,,,,,,AC:+5,1,,,,,,5,6,,,,LIGHT_BODYARMOR,,Medium Body Armor,Бронежилет,A jacket with pockets for metal plates. It provides torso protection from all sides.,Бронежилет представляет собой куртку с карманами для защитных пластин. Эта модель защищает со всех сторон.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Медицинские товары,,
MEDIKIT_1,HAND,,,,,,,550,100,,,,,,,,HEAL: 20,HP: +25,,,,,,,3,3,,5,,,,Small Medikit,Аптечка,Restores hit points. The healing power depends on character's medic skill.,Восстанавливает здоровье. Сила действия лекарств зависит от навыка медицины персонажа.
MEDIKIT_2,HAND,,,,,,,3000,100,,24,,,,,,HEAL: 20,HP: +60,,,,,,,3,3,,5,,,,Big Medikit,Большая аптечка,Restores hit points. The healing power depends on character's medic skill.,Восстанавливает здоровье. Сила действия лекарств зависит от навыка медицины персонажа.
ANTIDOT_MOMENT,HAND,,,,,,,150,100,,,,,,,,USE: 20,POISON_REMOVE: 1,,,,,,,2,2,,5,,,,Antidote for Moment Poison,"Противоядие от ""Момента"".",Antidote for Moment Poison produced from Acid Mushroom.,"Противоядие, изготавливаемое из зеленого гриба-кисляка. Снимает действие яда ""Момент""."
ANTIDOT_PIG,HAND,,,,,,,200,100,,,,,,,,USE: 20,POISON_REMOVE: 2,,,,,,,2,2,,5,,,,Antidote for Pig Poison,"Противоядие от ""Хрюши""",,"Противоядие, снимающее действие яда ""Хрюша""."
BUDILNIK,,,,,,,,,100,,,,,,,,,,,,,,,,5,1,,5,,,,The Alarm Clock Antidote,Будильник,Antidote for Battle Ostrich Poison,Средство против парализующего яда боевых страусов.
MEDIKIT_RU_7,HAND,,,2,1900,,,1,100,,28,,,,,,HEAL: 20,"POISON_REMOVE: 100, HP: +1900",,,,,,,4,3,,,,,,RU7 Universal Healing Kit,Регенератор РУ-7,"The kit can heal any wounds, including critical.","Универсальный регенератор имперского производства. Лечит любые раны, сращивает кости и снимает действия ядов. Критические ранения лечатся автоматически в режиме отдыха. Сила действия лекарств зависит от навыка медицины персонажа."
SURGEON_KIT,,,,3,10,,,1,100,,,,,,,,,,,,,,,,5,4,,,,,,Surgeon Kit,Ящик хирурга,You need this to heal critical wounds in the outdoors environments.,Набор инструментов для хирургических операций. Полезен для лечения критических ранений в полевых условиях. Используется автоматически в режиме отдыха.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Яды,,
POISON_MOMENT,,,,,,,,100,100,,,,,,,,,"POISON: 1, STR: -2, AGI: -2, TIME: 10, POISON_DMG: 1",,,,,,,2,2,,5,,,,Moment Poison,"Яд ""Момент""",,"Яд обессиливающий, замедляющий реакцию и ослабляющий защиту противника в ближнем бою. Применяется для отравления холодного оружия."
POISON_PIG,,,,,,,,150,100,,,,,,,,,"POISON: 2, AGI: -3, TIME: 10, POISON_DMG: 2",,,,,,,2,2,,5,,,,Pig Poison,"Яд ""Хрюша""",,"Яд, замедляющий реакцию и ослабляющий защиту противника в ближнем бою. Применяется для отравления холодного оружия."
POISON_OSTRICH,,,,,,,,180,100,,,,,,,,,"POISON: 3, PER: -3, AGI: -3, STR: -3, TIME: 10, POISON_DMG: 5",,,,,,,1,1,,,,,,Battle Ostrich Poison,Яд боевого страуса,,Парализующий яд боевого страуса.
POISON_LIZARD_1,,,,,,,,150,100,,,,,,,,,"POISON: 2, PER: -2, AGI: -2, TIME: 10, POISON_DMG: 2",,,,,,,2,2,,,,,,,Яд летающего ящера,,"Яд, замедляющий движение и реакцию."
POISON_LIZARD_2,,,,,,,,150,100,,,,,,,,,"POISON: 2, PER: -2, AGI: -2, TIME: 10, POISON_DMG: 2",,,,,,,2,2,,,,,,,Яд летающего ящера,,"Яд, замедляющий движение и реакцию."
POISON_LIZARD_3,,,,,,,,150,100,,,,,,,,,"POISON: 2, PER: -2, AGI: -2, TIME: 10, POISON_DMG: 2",,,,,,,2,2,,,,,,,Яд летающего ящера,,"Яд, замедляющий движение и реакцию."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Наркотики,,
FAST_DIVING,HAND,,,,,,,35,100,,,,,,,,USE: 20,"POISON: 5, TIME: 3600, P_RES: +50",,,,,,,2,2,,5,,,,Fast Diving Drug,"""Срочное погружение""",,Наркотическое средство местного производства. Повышает устойчивость к ядам.
DOWNHILL,HAND,,,,,,,25,100,,,,,,,,USE: 20,"POISON: 6, TIME: 1800",,,,,,,2,2,,5,,,,Downhill Drug,"""Скоростной спуск""",,Наркотическое средство местного производства. Действует не на всех людей.
KVAS,HAND,,,,,,,40,100,,,,,,,,USE: 20,"POISON: 7, TIME: 1800, HP: +10",,,,,,,1,3,,,,,,Karaul Kvas,"Веселящий Квас ""Караул""",,Веселящий квас местного производства.
VODKA,HAND,,,,,,,100,100,,,,,,,,USE: 20,"POISON: 8, TIME: 3600, HP: +15, AGI: -5, PER: -5",,,,,,,1,3,,,,,,Oblom Vodka,"Бутылка водки ""Облом""",,"Водка местного производства. Приняв на грудь, персонаж становится практически неуязвим к критическому урону. Водка обладает некоторым лечебным эффектом, правда, с негативными последствиями."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Стимуляторы,,
DODGER,HAND,,,,,,,500,100,,,,,,,,USE: 20,"AGI: +1, AC: 15, TIME: 7200, POISON: 10",,,,,,,2,2,,5,,,,Dodger Stimulator,"""Ловкач""",,"Порошок, временно увеличивающий ловкость, скорость бега и защиту в ближнем бою."
DODGER_BIG,HAND,,,,,,,2000,100,,,,,,,,USE: 21,"AGI: +2, AC: 25, TIME: 7200, POISON: 15",,,,,,,3,3,,3,,,,Dodger Stimulator Big Portion,"""Ловкач"", большая порция",,"Порошок, временно увеличивающий ловкость, скорость бега и защиту в ближнем бою."
ACCELERATOR,HAND,,,,,,,3000,100,,,,,,,,USE: 20,"PER: +2, INT: +2, CON: +2, TIME: 7200, POISON: 11",,,,,,,4,4,,5,,,,Accelerator Stimulator,"""Акселератор""",,"Ингалятор, временно улучшающий интеллект, восприятие и иммунитет организма."
LIFTING_JACK,HAND,,,,,,,2400,100,,,,,,,,USE: 20,"STR: +2, TIME: 7200, POISON: 12",,,,,,,1,1,,5,,,,Lifting Jack Stimulator,"""Домкрат""",,"Таблетки, временно увеличивающие силу. Позволяют слабому персонажу носить тяжелую броню и вооружение. Также полезны для компенсации потери силы при критическом ранении."
CIGARETTE,HAND,,,,,,,10,100,,,,,,,,USE: 20,"POISON: 9, TIME: 1800, AGI: -2, PER: -2",,,,,,,2,1,,,,,,Cigarette,Самокрутка,,Самокрутка с кумар-травой.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Инструменты,,
LOCKPICKS1,,,,,,,,100,100,,,,,,,,,,,,,,,,2,2,8,,,,,Small Lockpick Set,Набор отмычек,,"Набор отмычек, позволяющий открывать несложные замки."
LOCKPICKS2,,,,,,,,2000,100,,24,,,,,,,,,,,,,,3,3,8,,,,,Medium Lockpick Set,Набор отмычек универсальный,,"Набор отмычек, позволяющий открывать замки средней сложности."
LOCKPICKS3,,,,,,,,10000,100,,35,,,,,,,,,,,,,,4,3,8,,,,,Large Lockpick Set,"Набор отмычек ""Эксперт""",,"Набор отмычек, позволяющий открывать практически любые замки"
REPAIR_KIT,,,,1,50,,,1,100,,,,,,,,,,,,,,,,5,4,7,,,,,Repair Kit,Оружейный ремнабор,"The kit contains tools and replacement parts for repairing any local-made weapons, clothes and armor. To use, click ""Repair"" button at the top of the screen.","Набор для чистки и ремонта оружия в полевых условиях. Набор применяется при помощи меню ""Ремонт"" вверху экрана."
RAMROD,,,,,,,,50,100,,999,,,,,,,,,,,,,,5,1,7,,,,,Ramrod,Шомпол,,Шомпол для чистки оружия.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Каски-шапки,,
HELMET,HAT,,,,,,3,3000,100,50,,,,,,,,D_RES: +3,,,,,,,3,2,,,,HELMET,,Helmet,Пехотная каска,,"Обыкновенная пехотная каска, обеспечивающая легкую защиту головы."
ARYAN_HELMET,HAT,,,,,,3,10000,100,55,10,,,,,,,"D_RES: +6, CRIT_DEFENCE: 5",,,,,,,3,2,,,,ARYAN_HELMET,,Aryan Helmet,Арийская каска,,"Каска арийского производства, обеспечивающая среднюю защиту головы."
VADER_HELMET,HAT,,,,,,4,30000,100,70,38,,,,,,,"D_RES: +9, CRIT_DEFENCE: 20",1,,,,,,3,3,,,,VADER_HELMET,,Full Helmet,"Шлем ""Вейдер""",,"Закрытый шлем, обеспечивающий хорошую защиту головы."
ARYAN_UNIFORM_CAP,HAT,,,,,,,500,100,35,,,,,,,,,,1,,,,,3,2,,,,ARYAN_UNIFORM_CAP,,Aryan Uniform Cap,Фуражка арийская,,Форменная фуражка арийских военных.
ARYAN_FIELD_CAP,HAT,,,,,,,300,100,35,,,,,,,,,,1,,,,,2,2,,,,FIELD_CAP,,Aryan Field Cap,Пилотка арийская,,Пилотка арийских военных.
ARYAN_CAP,HAT,,,,,,,400,100,35,,,,,,,,,,1,,,,,3,2,,,,ARYAN_CAP,,Aryan Cap,Кепка арийская,,Кепка арийских военных.
KAMELAUKION,HAT,,,,,,,250,100,35,,,,,,,,,,,,,,,3,3,,,,KAMELAUKION,,Kamelaukion,Камилавка,,
TERRORIST,MASK,,,,,,,350,100,35,,,,,,,,,1,,,,,,3,3,,,,,,Terrorist Mask,"Маска ""Террорист""",The mask allows you to stay unrecognizable if you want to do something bad.,"Маска, целиком закрывающая лицо. Часто используется при ограблениях и убийствах."
ROUND,HAT,,,,,,,50,100,35,,,,,,,,D_RES: +1,,,,,,,3,2,,,,ROUND,,Round Cap,"Круглая шапка ""Плевок""",,Немного защищает голову от урона.
BANDANA,HAT,,,,,,,30,100,35,,,,,,,,,,,,,,,3,3,,,,,,Bandana,Бандана,,
BASEBALL_CAP,HAT,,,,,,,15,100,35,,,,,,,,,,,,,,,3,2,,,,BASEBALL_CAP,,Baseball Cap,Бейсболка,,
CAP,HAT,,,,,,,10,100,35,,,,,,,,,,,,,,,3,2,,,,CAP,,Cap,Кепка,,
SKULL_MASK,HAT,,,,,,,70,100,35,,,,,,,,,,,,,,,3,2,,,,SKULL_MASK,,Skull Mask,Маска-череп,,Ритуальная маска-череп из кости.
BERET,HAT,,,,,,,20,100,35,,,,,,,,,,,,,,,3,2,,,,BERET,,Beret,Берет,,
SKULL_CAP,HAT,,,,,,,18,100,35,,,,,,,,,,,,,,,3,2,,,,SKULL_CAP,,Skull Cap,Тюбетейка,,
PANAMA,HAT,,,,,,,12,100,35,,,,,,,,,,,,,,,3,2,,,,PANAMA,,Panama,Круглая панама от солнца,,
EAR_FLAPS,HAT,,,,,,,150,100,35,,,,,,,,D_RES: +2,,,,,,,3,3,,,,EAR_FLAPS,,Ear Flaps,Шапка-ушанка,,"Хорошо защищает от холода, и немножко от урона."
FIELD_CAP,HAT,,,,,,,100,100,35,,,,,,,,,,,,,,,2,2,,,,FIELD_CAP,,Field Cap,Пилотка,,Военная пилотка.
TURBAN,HAT,,,,,,,60,100,35,,,,,,,,,,,,,,,3,3,,,,TURBAN,,Turban,Чалма,,
KINDZADZA,HAT,,,,,,,10,100,35,,,,,,,,,-2,,,,1,,3,2,,,,KINDZADZA,,Kindzadza Cap,"Шапка ""Кин-дза-дза""",,
ROUND_PUMPON,HAT,,,,,,,30,100,35,,,,,,,,D_RES: +1,-1,,,,,,3,2,,,,ROUND_PUMPON,,Round Cap With Pumpon,Вязаная шапка,Low prestige cap.,Круглая вязаная шапка с пумпоном. Немного защищает голову от урона. Непрестижная.
CHINEZIAN,HAT,,,,,,,15,100,35,,,,,,,,,,,,,,,4,2,,,,CHINEZIAN,,Chinese Cap,Китайская шляпа,,
HAIR1,HAT,,,,,,,0,100,5,,,,,,,,,,,,,,,3,2,,,,HAIR1,,Hair,С хвостиком,,
HAIR2,HAT,,,,,,,0,100,5,,,,,,,,,,,,,,,3,2,,,,HAIR2,,Hair,С длинным хвостиком,,
HAIR3,HAT,,,,,,,0,100,5,,,,,,,,,,,,,,,3,2,,,,HAIR3,,Hair,Каре за уши,,
HAIR4,HAT,,,,,,,0,100,5,,,,,,,,,,,,,,,3,2,,,,HAIR4,,Hair,Каре,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Цепи, амулеты на шею",,
GOLD_CHAIN,AMULET,,,,,,,250,100,,,,,,,,,,,,,,,,3,3,,,,,,Gold Chain,Золотая цепочка тонкая,,
BIG_GOLD_CHAIN,AMULET,,,,,,,500,100,,,,,,,,,,1,,,,,,3,3,,,,,,Big Gold Chain,Цепь в палец толщиной,Prestige thing.,Внушает уважение к ее владельцу.
CROSS_KONDRATOMAN,AMULET,,,,,,,80,100,,,,,,,,,,,,,,,,2,3,,,,,,Kondratoman Cross,Крест кондратоманский,,
CROSS_CANNIBAL,AMULET,,,,,,,45,100,,,,,,,,,,,,,,,,2,3,,,,,,Cannibal Cross,Крест людоедский,,
PACIFIC,AMULET,,,,,,,70,100,,,,,,,,,,,,,,,,2,3,,,,,,Pacific,Пацифик негрильный,,
EURO,AMULET,,,,,,,120,100,,,,,,,,,,,,,,,,2,3,,,,,,Euro,Евра негрильная,,
DOLLAR,AMULET,,,,,,,100,100,,,,,,,,,,,,,,,,2,3,,,,,,Dollar,Доллар негрильный,,
JERBOA,AMULET,,,,,,,10,100,,,,,,,,,,,,,,,,2,3,,,,,,Jerboa Leg,Лапка тушканчика на веревочке,,
IRON_HEART,AMULET,,,,,,,20,100,,,,,,,,,,,,,,,,2,3,,,,,,Iron Heart,Железное сердечко на железной цепочке,,
SILVER_HAMMER,AMULET,,,,,,,100,100,,,,,,,,,,,,,,,,2,3,,,,,,Silver Hammer,Молоточек серебряный на серебряной же цепочке,,
BEADS,AMULET,,,,,,,8,100,,,,,,,,,,,,,,,,2,3,,,,,,Beads,"Бусы деревянные, круглые, простые",,
SILVER_CHAIN,AMULET,,,,,,,80,100,,,,,,,,,,,,,,,,2,3,,,,,,Silver Chain,Серебряная цепочка,,
STEEL_BALLS,AMULET,,,,,,,300,100,,,,,,,,,,,,,,,,2,3,,,,,,Steel Balls,Основа жизни господина Уэфа,,
PHALLUS,AMULET,,,,,,,160,100,,,,,,,,,,,,,,,,2,3,,,,,,Phallus,Фаллический деревянный амулет,,
INYAN,AMULET,,,,,,,130,100,,,,,,,,,,,,,,,,2,3,,,,,,Inyan,"""Инь-янь"" серебряный",,
COIN,AMULET,,,,,,,40,100,,,,,,,,,,,,,,,,2,3,,,,,,Coin,Пробитая монетка на веревочке,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Майки,,
FIGHTING_SHIRT,SHIRT,,,,,,,70,100,30,,,,,,,,,,,,,,,4,7,,,,,,Fighting Shirt,Борцовка,,
SPORTS_SHIRT,SHIRT,,,,,,,75,100,30,,,,,,,,,,,,,,,4,7,,,,,,Sports Shirt,Футболка,,
ROLL_NECK,SHIRT,,,,,,,85,100,30,,,,,,,,,,,,,,,4,7,,,,,,Roll Neck,Водолазка,,
FIVE_ELEMENT,SHIRT,,,,,,,100,100,30,,,,,,,,,,,1,,,,4,6,,,,,,Miltiple Hole Shirt,"Майка ""Пятый элемент""",Gay/whore wear. It's shameful for Space Marine to wear this.,Одежда гомосексуалистов и проституток. Десантнику стыдно надевать это.
SLEEVELESS_SHIRT,SHIRT,,,,,,,60,100,30,,,,,,,,,,,,,,,4,7,,,,,,Sleeveless Shirt,Безрукавка,,
TOPIC,SHIRT,,,,,,,40,100,30,,,,,,,,,,,1,,,,4,6,,,,,,Topic,Топик,Gay/whore wear. It's shameful for Space Marine to wear this.,Одежда гомосексуалистов и проституток. Десантнику стыдно надевать это.
WHORE_SHIRT,SHIRT,,,,,,,50,100,30,,,,,,,,,,,1,,,,4,7,,,,,,Whore Shirt,"Майка с ""чашечками"" и кисточками",Gay/whore wear. It's shameful for Space Marine to wear this.,Одежда гомосексуалистов и проституток. Десантнику стыдно надевать это.
GRID_SHIRT,SHIRT,,,,,,,50,100,30,,,,,,,,,,,1,,,,4,7,,,,,,Grid Shirt,Майка-сеточка,Gay/whore wear. It's shameful for Space Marine to wear this.,Одежда гомосексуалистов и проституток. Десантнику стыдно надевать это.
FUR_JACKET,BODY,,,,,,,30,100,30,,,,,,,,,-1,,,,1,,6,6,,,,FUR_JACKET,,Fur Jacket,Меховая майка из крысиных шкурок,,
LEATHER_SHIRT,SHIRT,,,,,,,100,100,30,,,,,,,,,,,,,,,2,6,,,,,,Leather Jacket,Кожаная майка,,
KNOT_SHIRT,SHIRT,,,,,,,55,100,30,,,,,,,,,,,,,,,4,7,,,,,,Knot Shirt,"Майка, завязанная узлом",,
KHAKI_SHIRT,SHIRT,,,,,,,80,100,30,,,,,,,,,,,,,,,4,7,,,,,,Khaki Shirt,Военная рубашка,,
CAMOUFLAGE_SHIRT,SHIRT,,,,,,,90,100,30,,,,,,,,,,,,,,,4,7,,,,,,Camouflage Shirt,Камуфляжная рубашка,,
BLOUSE,SHIRT,,,,,,,40,100,30,,,,,,,,,,,,,,,4,6,,,,,,Blouse,Блузка светлая,,
SHIRT,SHIRT,,,,,,,35,100,30,,,,,,,,,,,,,,,4,6,,,,,,Shirt,Некогда цивильная майка,,
COWBOY_SHIRT,SHIRT,,,,,,,70,100,30,,,,,,,,,,,,,,,4,7,,,,,,Cowboy Shirt,Ковбойка,,
KIMONO_SHIRT,BODY,,,,,,,80,100,30,,,,,,,,,,,,,,,4,7,,,,SACKCLOTH,,Kimono Shirt,Рубашка кимоно,,
STRIPPED_SHIRT,SHIRT,,,,,,,76,100,30,,,,,,,,,,,,,,,6,6,,,,,,Stripped Shirt,Рубашка из кусочков кожи,,
ARYAN_SHIRT,SHIRT,,,,,,,130,100,30,,,,,,,,,,1,,,,,4,7,,,,,,Aryan Shirt,Арийская рубашка,,
ROBE,BODY,,,,,,,10,100,30,,,,,,,,"D_RES: 1, AC: 1",,,,,,,5,7,,,,ROBE,,Gray Condemned's Shirt,Серая роба,,Роба заключенного промзоны.
ROBE_BLACK,BODY,,,,,,,10,100,30,,,,,,,,"D_RES: 1, AC: 1",,,,,,,5,7,,,,ROBE,,Black Guard's Shirt,Чёрная роба,,Роба охранника промзоны.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Пиджаки,куртки",,
SMOKING,BODY,,,,,,,1500,100,30,16,,,,,,,"D_RES: 1, AC: 1",,,,,,1,5,7,,,,SMOKING,,Smoking,Пиджак,,
CAGED_SMOKING,BODY,,,,,,,1200,100,30,12,,,,,,,"D_RES: 1, AC: 1",,,,,,1,5,7,,,,SMOKING,,Caged Smoking,Клетчатый жакет,,
SACKCLOTH,BODY,,,,,,,20,100,30,,,,,,,,,-1,,,,1,,5,7,,,,SACKCLOTH,,Sackcloth,Дерюжная куртка,Beggar's wear.,Одежда бомжей и бедняков.
QUILTED_JACKET,BODY,,,,,,,300,100,30,,,,,,,,"D_RES: 2, AC: 3",,,,,,,5,7,,,,QUILTED_JACKET,,Quilted Jacket,Стеганая телогрейка,,"Хорошо защищает от холода, и немножко от урона."
PONCHO,BODY,,,,,,,15,100,30,,,,,,,,"D_RES: 1, AC: 2",,,,,1,,6,7,,,,PONCHO,,Poncho,Пончо короткое,,
CAMOUFLAGE_JACKET,BODY,,,,,,,300,100,30,,,,,,,,"D_RES: 1, AC: 2",,,,,,,5,7,,,,OFFICER_JACKET,,Camouflage Jacket,Камуфляжная куртка,,
OFFICER_JACKET,BODY,,,,,,,700,100,30,,,,,,,,"D_RES: 1, AC: 1",,1,,,,,5,7,,,,OFFICER_JACKET,,Aryan Officer's Jacket,Арийский китель,,Китель арийского офицера. Носить арийскую форму где-либо кроме Кройцвайзбурга опасно для жизни - у арийцев достаточно врагов на этой планете.
SOLDIER_JACKET,BODY,,,,,,,500,100,30,,,,,,,,"D_RES: 1, AC: 1",,1,,,,,5,7,,,,OFFICER_JACKET,,Aryan Soldier's Jacket,Арийский китель,,Китель арийского солдата. Носить арийскую форму где-либо кроме Кройцвайзбурга опасно для жизни - у арийцев достаточно врагов на этой планете.
CASSOCK,BODY,,,,,,,120,100,30,,,,,,,,,,,,,,,5,7,,,,CASSOCK,,Cassock,Ряса чёрная,,
OVERALL,BODY,,,,,,,150,100,30,,,,,,,,,,,,,,,4,7,,,,OVERALL,,Overall,Балахон монашеский,,
